isin,name,ticker,sector,geography,5y_sharpe
15000,Simulated Security 15000,ZXQU,Financials,Canada,-0.739977937
15001,Simulated Security 15001,XQU,Financials,United States,-1.572461074
15002,Simulated Security 15002,QUCS,Financials,United States,23.36515815
15003,Simulated Security 15003,UC,Technology,Canada,4.493804032
15004,Simulated Security 15004,C,Financials,Canada,2.546968009
15005,Simulated Security 15005,SUEM,Financials,United States,-1.061960081
15006,Simulated Security 15006,UEM,Technology,Canada,1.70614676
15007,Simulated Security 15007,EM,Industrials,United States,-1.681688501
15008,Simulated Security 15008,MUJW,Financials,Canada,4.358565327
15009,Simulated Security 15009,U,Industrials,Canada,-1.51273213
15010,Simulated Security 15010,JWG,Financials,United States,1.689673117
15011,Simulated Security 15011,WGR,Technology,Canada,9.902229379
15012,Simulated Security 15012,GR,Financials,United States,2.181455764
15013,Simulated Security 15013,RET,Technology,United States,-1.284303329
15014,Simulated Security 15014,ET,Financials,United States,5.593864653
15015,Simulated Security 15015,TR,Financials,Canada,57.25472195
15016,Simulated Security 15016,RO,Industrials,Canada,-1.753006097
15017,Simulated Security 15017,OMXF,Industrials,United States,0.637452831
15018,Simulated Security 15018,MXFH,Financials,United States,-1.935301011
15019,Simulated Security 15019,X,Technology,United States,2.038966571
15020,Simulated Security 15020,FH,Technology,United States,-0.96787907
15021,Simulated Security 15021,HY,Financials,United States,1.111415582
15022,Simulated Security 15022,Y,Technology,Canada,4.003223311
15023,Simulated Security 15023,FZ,Industrials,United States,-2.605933906
15024,Simulated Security 15024,ZRP,Financials,Canada,7.773099452
15025,Simulated Security 15025,RP,Industrials,Canada,9.609372212
15026,Simulated Security 15026,PPXM,Industrials,Canada,-1.326827496
15027,Simulated Security 15027,PXMU,Financials,Canada,-1.997003824
15028,Simulated Security 15028,XMUD,Industrials,United States,4.201815213
15029,Simulated Security 15029,MUDV,Financials,United States,5.739328816
15030,Simulated Security 15030,UD,Technology,United States,-1.626054041
15031,Simulated Security 15031,D,Financials,United States,6.509956358
15032,Simulated Security 15032,V,Technology,United States,44.68398997
15033,Simulated Security 15033,EQ,Financials,Canada,3.354602482
15034,Simulated Security 15034,QK,Industrials,United States,-1.10572986
15035,Simulated Security 15035,KGX,Technology,Canada,1.799364567
15036,Simulated Security 15036,GX,Financials,Canada,-2.724145385
15037,Simulated Security 15037,XPPO,Industrials,Canada,-1.340979925
15038,Simulated Security 15038,PPOY,Industrials,Canada,7.316996011
15039,Simulated Security 15039,POYK,Industrials,United States,-1.159407416
15040,Simulated Security 15040,OYKW,Technology,Canada,-2.107105323
15041,Simulated Security 15041,Y,Industrials,Canada,-0.766641439
15042,Simulated Security 15042,KWQ,Financials,Canada,-0.928835376
15043,Simulated Security 15043,WQGO,Financials,United States,-1.295171812
15044,Simulated Security 15044,QGO,Technology,Canada,1.585487118
15045,Simulated Security 15045,GO,Industrials,United States,-1.125455463
15046,Simulated Security 15046,ODDK,Technology,United States,0.323506607
15047,Simulated Security 15047,D,Technology,Canada,-1.222987397
15048,Simulated Security 15048,D,Industrials,Canada,13.83214588
15049,Simulated Security 15049,KOI,Industrials,Canada,8.651696877
15050,Simulated Security 15050,OIGI,Industrials,United States,-1.153259905
15051,Simulated Security 15051,IGI,Technology,Canada,6.308024836
15052,Simulated Security 15052,GI,Industrials,United States,0.067506536
15053,Simulated Security 15053,IDO,Technology,Canada,0.864688585
15054,Simulated Security 15054,D,Industrials,United States,-2.99706398
15055,Simulated Security 15055,OAJU,Technology,Canada,7.78018863
15056,Simulated Security 15056,A,Industrials,Canada,-1.394130177
15057,Simulated Security 15057,JUI,Financials,Canada,-1.308946829
15058,Simulated Security 15058,UIK,Industrials,Canada,1.846670611
15059,Simulated Security 15059,IKZ,Industrials,Canada,1.434180248
15060,Simulated Security 15060,KZS,Financials,United States,-2.375056236
15061,Simulated Security 15061,ZSXZ,Financials,Canada,-0.38353285
15062,Simulated Security 15062,S,Financials,Canada,1.003226604
15063,Simulated Security 15063,XZX,Industrials,Canada,0.585554448
15064,Simulated Security 15064,ZXI,Financials,Canada,-1.251022357
