isin,name,fee,geography,strategy,risk,5y_sharpe
30000,Simulated Security 30000,0.004,United States,Income,Medium,2.33932039
30001,Simulated Security 30001,0.016,United States,Value,Low,0.184237898
30002,Simulated Security 30002,0.001,Canada,Balanced,Low,2.875318823
30003,Simulated Security 30003,0.003,Canada,Growth,High,-0.461672417
30004,Simulated Security 30004,0.007,United States,Growth,High,0.319205521
30005,Simulated Security 30005,0.013,United States,Growth,Low,1.500182361
30006,Simulated Security 30006,0.014,United States,Growth,Medium,11.38400349
30007,Simulated Security 30007,0.001,United States,Balanced,Medium,-2.737101199
30008,Simulated Security 30008,0,Canada,Value,High,-3.841065603
30009,Simulated Security 30009,0.013,Canada,Income,Low,0.264862387
30010,Simulated Security 30010,0.009,United States,Balanced,Medium,-0.965031623
30011,Simulated Security 30011,0.006,Canada,Balanced,Medium,2.33710275
30012,Simulated Security 30012,0.004,Canada,Value,High,0.955697509
30013,Simulated Security 30013,0.012,Canada,Income,Low,-1.007348455
30014,Simulated Security 30014,0.015,United States,Growth,Low,-1.66609954
30015,Simulated Security 30015,0.007,United States,Balanced,High,1.061333895
30016,Simulated Security 30016,0.003,Canada,Growth,Medium,-0.560285848
30017,Simulated Security 30017,0.015,United States,Balanced,High,0.843488893
30018,Simulated Security 30018,0.017,Canada,Growth,Low,1.743507788
30019,Simulated Security 30019,0.016,United States,Value,Medium,0.348829176
30020,Simulated Security 30020,0.01,Canada,Balanced,High,-0.969445827
30021,Simulated Security 30021,0.02,Canada,Income,Low,-1.887452229
30022,Simulated Security 30022,0.014,United States,Balanced,High,4.284898407
30023,Simulated Security 30023,0.008,Canada,Growth,Low,10.23560373
30024,Simulated Security 30024,0.019,United States,Balanced,Medium,-0.174604726
30025,Simulated Security 30025,0.013,Canada,Value,High,-1.760371132
30026,Simulated Security 30026,0.016,Canada,Growth,Medium,2.291779273
30027,Simulated Security 30027,0.013,United States,Value,High,5.151496379
30028,Simulated Security 30028,0.006,Canada,Income,Medium,4.454700069
30029,Simulated Security 30029,0.001,United States,Value,High,-1.575827373
30030,Simulated Security 30030,0.007,Canada,Income,High,-0.761411837
30031,Simulated Security 30031,0.003,United States,Income,Low,5.164759241
30032,Simulated Security 30032,0.007,United States,Income,Medium,3.587020396
30033,Simulated Security 30033,0.004,United States,Balanced,Low,0.155977157
30034,Simulated Security 30034,0.004,Canada,Balanced,Low,-0.128412431
30035,Simulated Security 30035,0.013,Canada,Growth,Low,0.731676439
30036,Simulated Security 30036,0.016,United States,Value,High,-3.085528555
30037,Simulated Security 30037,0.014,Canada,Growth,Low,-2.593389145
30038,Simulated Security 30038,0.011,United States,Balanced,Low,0.890401342
30039,Simulated Security 30039,0.011,Canada,Balanced,High,-0.847122797
30040,Simulated Security 30040,0,Canada,Growth,Low,-14.58881139
30041,Simulated Security 30041,0.013,United States,Income,Low,3.26378694
30042,Simulated Security 30042,0.01,United States,Value,Medium,10.52289196
30043,Simulated Security 30043,0.002,Canada,Balanced,Medium,4.11860251
30044,Simulated Security 30044,0.012,Canada,Value,High,-1.409284942
30045,Simulated Security 30045,0.015,Canada,Growth,Medium,2.966519112
30046,Simulated Security 30046,0.018,United States,Value,Low,-1.424568
30047,Simulated Security 30047,0.006,Canada,Income,Medium,2.749748035
30048,Simulated Security 30048,0.001,United States,Value,Low,0.637337604
30049,Simulated Security 30049,0.005,Canada,Growth,High,0.079884347
30050,Simulated Security 30050,0.013,United States,Income,Low,0.257585253
30051,Simulated Security 30051,0.007,United States,Income,Medium,2.419265352
30052,Simulated Security 30052,0.01,United States,Balanced,High,0.275635353
30053,Simulated Security 30053,0.005,Canada,Growth,High,0.313895223
30054,Simulated Security 30054,0.017,United States,Income,High,6.1312342
30055,Simulated Security 30055,0.009,United States,Growth,Low,2.352002123
30056,Simulated Security 30056,0.002,United States,Value,Medium,0.885894968
30057,Simulated Security 30057,0.004,Canada,Balanced,Low,-0.435675333
30058,Simulated Security 30058,0,Canada,Value,High,1.277208681
30059,Simulated Security 30059,0.019,Canada,Income,Low,-1.651762926
30060,Simulated Security 30060,0.008,United States,Value,Medium,-0.870545442
30061,Simulated Security 30061,0.018,Canada,Balanced,Medium,4.7767022
30062,Simulated Security 30062,0.019,Canada,Balanced,Low,-0.142100935
30063,Simulated Security 30063,0.019,Canada,Income,Low,-1.815362154
30064,Simulated Security 30064,0.018,United States,Balanced,High,5.20016089
30065,Simulated Security 30065,0.017,Canada,Income,High,-0.45406784
30066,Simulated Security 30066,0.015,United States,Income,High,1.433189961
30067,Simulated Security 30067,0.017,United States,Income,Low,-1.615455725
30068,Simulated Security 30068,0.004,United States,Balanced,Low,4.844311241
30069,Simulated Security 30069,0.004,Canada,Value,Medium,-1.325514924
